,initialization,optimizer_nn,loss_nn,batch_size,epoch_size,train accuracy,val accuracy,test accuracy,train loss,val loss,test loss
0,he_uniform,sgd,categorical_crossentropy,32,50,0.9801666736602783,0.9324166774749756,0.8262222409248352,0.06327421361542794,0.4095914321584879,1.200748615052965
0,he_uniform,sgd,categorical_crossentropy,64,50,0.9839285612106323,0.9359166622161865,0.8261111378669739,0.05177845259986463,0.3974424202526609,1.1965551855431662
0,he_uniform,adam,categorical_crossentropy,32,50,0.9352142810821533,0.911466658115387,0.8379999995231628,0.21697069379163994,0.3768226287787625,0.8259759337769614
0,he_uniform,adam,categorical_crossentropy,64,50,0.9514285922050476,0.9220333099365234,0.8360000252723694,0.15373774505087306,0.36488871936332434,0.9093214378886753
0,he_uniform,RMSprop,categorical_crossentropy,32,50,0.15309524536132812,0.14196667075157166,0.1393333375453949,2.3679859899793354,2.27248346118927,2.413727367824978
0,he_uniform,RMSprop,categorical_crossentropy,64,50,0.9054523706436157,0.8820833563804626,0.8216666579246521,0.34982462756690524,0.6142733457605044,1.2324777216116587
0,he_uniform,Adagrad,categorical_crossentropy,32,50,0.9955000281333923,0.9499666690826416,0.8400555849075317,0.02530914712511003,0.3154850356518291,1.0006146202219857
0,he_uniform,Adagrad,categorical_crossentropy,64,50,0.9949761629104614,0.9472000002861023,0.8351666927337646,0.029713484523906594,0.3162755134753883,0.9864538886936175
0,glorot_uniform,sgd,categorical_crossentropy,32,50,0.9793809652328491,0.942300021648407,0.8405555486679077,0.0629598665222958,0.3740807055047985,1.1437992999156317
0,glorot_uniform,sgd,categorical_crossentropy,64,50,0.9818333387374878,0.9152166843414307,0.8139444589614868,0.05771200505040941,0.4930022602909555,1.2816177690956327
0,glorot_uniform,adam,categorical_crossentropy,32,50,0.9355000257492065,0.9099500179290771,0.8334444165229797,0.21432757053772608,0.40050550255573664,0.8807527406745487
0,glorot_uniform,adam,categorical_crossentropy,64,50,0.9445000290870667,0.916100025177002,0.8339444398880005,0.176577113983177,0.37933883566310006,0.8911335129208035
0,glorot_uniform,RMSprop,categorical_crossentropy,32,50,0.16449999809265137,0.15771666169166565,0.15194444358348846,3.528424184617542,2.303395315424601,2.6068688918219673
0,glorot_uniform,RMSprop,categorical_crossentropy,64,50,0.8984524011611938,0.8848833441734314,0.8250555396080017,0.4342926732812609,0.7509618684709072,1.7528409537474314
0,glorot_uniform,Adagrad,categorical_crossentropy,32,50,0.9950952529907227,0.9528166651725769,0.8478333353996277,0.02552555738522538,0.3009498097825252,0.9606160548064444
0,glorot_uniform,Adagrad,categorical_crossentropy,64,50,0.9951666593551636,0.9434833526611328,0.8364444375038147,0.02902474670076654,0.3299986881294598,1.0007815465331078
