,initialization,optimizer_nn,loss_nn,batch_size,epoch_size,train accuracy,val accuracy,test accuracy,train loss,val loss,test loss
0,uniform,sgd,categorical_crossentropy,32,80,0.989380955696106,0.9480000138282776,0.8382777571678162,0.03299773664610083,0.43056095681877654,1.3905774258486927
0,uniform,sgd,categorical_crossentropy,64,80,0.9839047789573669,0.9257166385650635,0.8189444541931152,0.05422121710614079,0.4335554174960901,1.2416187939776315
0,uniform,adam,categorical_crossentropy,32,80,0.9603095054626465,0.9215333461761475,0.8338333368301392,0.14503089627175636,0.4295646896456058,1.0938836524652111
0,uniform,adam,categorical_crossentropy,64,80,0.9717142581939697,0.9321333169937134,0.8373888731002808,0.09659578045022985,0.38070777574622383,1.054292003677951
0,uniform,RMSprop,categorical_crossentropy,32,80,0.17752380669116974,0.16991665959358215,0.1641666740179062,4.733351090204148,2.5758804482460023,3.412999962700738
0,uniform,RMSprop,categorical_crossentropy,64,80,0.9192857146263123,0.87295001745224,0.8022778034210205,0.4083703750315167,1.2569069519201914,3.361487252049976
0,uniform,Adagrad,categorical_crossentropy,32,80,0.9929999709129333,0.9500666856765747,0.8391666412353516,0.02997617941007151,0.3790740702606039,1.2274158824260035
0,uniform,Adagrad,categorical_crossentropy,64,80,0.9958809614181519,0.951533317565918,0.8427777886390686,0.019745791512142334,0.3822832959262654,1.2446424557467302
0,he_normal,sgd,categorical_crossentropy,32,80,0.9920476078987122,0.9440500140190125,0.8302778005599976,0.0254492872744193,0.47491348327102334,1.525340164339377
0,he_normal,sgd,categorical_crossentropy,64,80,0.995119035243988,0.947616696357727,0.8327777981758118,0.01772043305511276,0.4294587721830855,1.4009586097399394
0,he_normal,adam,categorical_crossentropy,32,80,0.9506428837776184,0.9228166937828064,0.836555540561676,0.1694716073204098,0.4045428094893054,1.0205514061848322
0,he_normal,adam,categorical_crossentropy,64,80,0.9659047722816467,0.9231833219528198,0.8344444632530212,0.11441146858142955,0.4111216917868083,1.0719361038936508
0,he_normal,RMSprop,categorical_crossentropy,32,80,0.13923808932304382,0.12853333353996277,0.12344444543123245,2.886794952392578,2.254367439842224,2.296396434572008
0,he_normal,RMSprop,categorical_crossentropy,64,80,0.8691190481185913,0.7896833419799805,0.7434999942779541,0.5456389072622572,2.1841756812244655,4.446014936765035
0,he_normal,Adagrad,categorical_crossentropy,32,80,1.0,0.951616644859314,0.8388333320617676,0.003117663051411953,0.3772941361848915,1.2490759454088078
0,he_normal,Adagrad,categorical_crossentropy,64,80,0.9999285936355591,0.9522166848182678,0.840833306312561,0.004356569903858361,0.3684114027176673,1.215937511826555
0,glorot_normal,sgd,categorical_crossentropy,32,80,0.9946190714836121,0.9528499841690063,0.8492222428321838,0.018333160099093696,0.4332158614128308,1.4183760724506445
0,glorot_normal,sgd,categorical_crossentropy,64,80,0.9828809499740601,0.9449833035469055,0.8374444246292114,0.055731883679117473,0.4220130083217596,1.3371464445458519
0,glorot_normal,adam,categorical_crossentropy,32,80,0.9583571553230286,0.9269166588783264,0.840499997138977,0.13969103651572506,0.41888673651622427,1.1007152051064704
0,glorot_normal,adam,categorical_crossentropy,64,80,0.9670237898826599,0.9273999929428101,0.8363333344459534,0.1091700441184498,0.40644975103490677,1.0931692512316835
0,glorot_normal,RMSprop,categorical_crossentropy,32,80,0.13459524512290955,0.13368333876132965,0.13161110877990723,3.132911499477568,2.3495557278951007,2.645409578111437
0,glorot_normal,RMSprop,categorical_crossentropy,64,80,0.9105238318443298,0.9025333523750305,0.8374999761581421,0.42536958173768863,1.259500175898522,3.5044023010863197
0,glorot_normal,Adagrad,categorical_crossentropy,32,80,0.9998095035552979,0.9523833394050598,0.8415555357933044,0.004785589176174697,0.3910157801394739,1.2914412978688876
0,glorot_normal,Adagrad,categorical_crossentropy,64,80,0.9999285936355591,0.9528666734695435,0.8431110978126526,0.0033476357085497252,0.37254696191195397,1.2325781529554063
